Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"1","spark","apache-spark","2015-07-08 11:45:06","21","37","2020-03-30 22:44:33","0","21","2015-07-08 11:45:06"
"2","software-recommendation","software-recommentation","2015-07-31 08:33:01","21","0","","0","",""
"3","pig","apache-pig","2015-08-02 07:36:44","21","1","2016-05-10 16:35:06","0","21","2015-08-02 07:36:44"
"4","data-visualization","visualization","2015-11-28 08:55:18","21","7","2019-12-23 20:19:10","0","21","2015-11-28 08:55:18"
"5","parallelism","parallel","2016-01-15 22:03:10","21","0","","0","21","2016-01-15 22:03:10"
"6","hadoop","apache-hadoop","2016-10-09 08:45:45","21","11","2020-03-30 22:44:33","0","21","2016-10-09 08:45:45"
"8","neuralnetwork","neural-network","2017-02-22 16:30:33","21","4","2020-01-17 11:43:03","0","21","2017-02-22 16:30:33"
"9","recommendation","recommender-system","2017-05-19 16:14:12","21","7","2020-01-15 13:45:58","0","21","2017-05-19 16:14:12"
"10","scikit","scikit-learn","2017-07-20 11:34:00","21","5","2019-12-28 08:51:25","0","21","2017-07-20 11:34:00"
"11","sklearn","scikit-learn","2017-07-20 11:34:18","21","48","2020-03-29 21:32:49","0","21","2017-07-20 11:34:18"
"12","convnet","cnn","2018-01-21 09:44:57","28175","0","","1","",""
"13","ml","machine-learning","2019-07-17 02:57:50","38892","0","","2","",""
"14","natural-language-process","nlp","2019-09-16 11:06:01","64377","0","","3","",""
"15","unbalanced-classes","class-imbalance","2019-11-21 17:18:07","55122","0","","0","",""
"16","imbalanced-learn","class-imbalance","2019-11-21 17:18:52","55122","0","","0","",""
"17","recurrent-neural-net","rnn","2019-12-11 11:07:18","38887","0","","0","",""
"18","nn","neural-network","2019-12-11 11:10:27","38887","0","","0","",""
"19","data","dataset","2019-12-11 11:13:00","38887","0","","0","",""
"20","math","mathematics","2019-12-11 19:22:16","23305","0","","1","",""
