Id,TagName,Count,ExcerptPostId,WikiPostId
"1","definitions","29","105","104"
"2","machine-learning","7478","4909","4908"
"3","bigdata","428","66","65"
"5","data-mining","989","80","79"
"6","databases","85","8960","8959"
"8","libsvm","14","18","17"
"10","scalability","27","",""
"11","efficiency","29","142","141"
"12","performance","122","",""
"13","nosql","23","119","118"
"14","relational-dbms","11","",""
"15","clustering","912","145","144"
"16","octave","14","68","67"
"17","k-means","295","8958","8957"
"19","algorithms","323","8932","8931"
"21","tools","58","",""
"22","processing","16","",""
"23","apache-hadoop","117","5840","5839"
"24","r","1163","49","48"
"26","data-cleaning","471","8940","8939"
"27","statistics","702","3790","3789"
"29","distributed","34","",""
"31","neo4j","11","181","180"
"35","information-retrieval","108","48747","48746"
"36","google","35","",""
"37","search","45","",""
"39","education","31","8276","8275"
"40","open-source","16","",""
"42","similarity","198","",""
"43","data-stream-mining","15","109","108"
"45","dimensionality-reduction","191","8975","8974"
"46","python","4262","5523","5522"
"47","nlp","1288","147","146"
"48","language-model","52","",""
"50","topic-model","95","8400","8399"
"51","lda","93","6763","6762"
"54","feature-selection","594","8936","8935"
"55","map-reduce","26","137","136"
"56","mongodb","13","178","177"
"59","indexing","16","152","151"
"60","data-indexing-techniques","5","149","148"
"61","dataset","973","8889","8888"
"62",".net","7","168","167"
"64","pandas","796","9185","9184"
"65","parallel","34","",""
"66","metadata","10","",""
"67","parsing","23","",""
"71","social-network-analysis","83","8973","8972"
"72","time-series","1073","8904","8903"
"73","javascript","26","",""
"74","visualization","450","8952","8951"
"76","svm","410","8574","8573"
"77","classification","2024","4911","4910"
"78","binary","73","",""
"80","optimization","307","8954","8953"
"81","neural-network","3109","8885","8884"
"82","usecase","7","",""
"83","consumerweb","6","",""
"84","parameter","27","",""
"86","clusters","40","",""
"87","aws","43","",""
"90","text-mining","486","8900","8899"
"94","freebase","3","48674","48673"
"95","knowledge-base","19","",""
"100","confusion-matrix","84","9043","9042"
"101","accuracy","207","",""
"102","categorical-data","255","8977","8976"
"104","data-formats","30","",""
"105","hierarchical-data-format","20","",""
"108","sql","75","8990","8989"
"109","research","38","",""
"110","experiments","25","39144","39143"
"113","random-forest","512","8938","8937"
"114","logistic-regression","442","8934","8933"
"115","evaluation","175","43584","43583"
"116","crawling","11","",""
"119","anonymization","8","",""
"120","beginner","127","10335","10334"
"123","graphs","158","",""
"124","cross-validation","384","8988","8987"
"126","sampling","119","",""
"128","scikit-learn","1416","5896","5895"
"129","kaggle","85","48600","48599"
"135","gradient-descent","284","48491","48490"
"136","feature-extraction","276","10019","10018"
"138","state-of-the-art","6","",""
"139","career","51","",""
"143","genetic","4","",""
"144","correlation","224","8969","8968"
"146","error-handling","37","",""
"147","apache-pig","7","22402","22401"
"156","glm","21","",""
"157","regression","939","8906","8905"
"158","scala","42","49016","49015"
"159","csv","66","8992","8991"
"160","online-learning","47","",""
"162","unbalanced-classes","154","",""
"164","gbm","50","9096","9095"
"167","marketing","25","",""
"168","predictive-modeling","860","8902","8901"
"175","library","14","",""
"179","java","60","10021","10020"
"180","energy","4","",""
"184","anomaly-detection","228","48505","48504"
"185","forecast","92","",""
"186","sequence","76","9053","9052"
"191","hbase","2","48678","48677"
"193","tableau","28","",""
"194","deep-learning","2996","8956","8955"
"195","ensemble-modeling","111","48541","48540"
"197","infographics","7","",""
"200","feature-scaling","140","21855","21854"
"201","apache-mahout","16","48660","48659"
"202","hive","13","48745","48744"
"205","object-recognition","54","",""
"206","hog","3","",""
"207","computer-vision","358","9205","9204"
"211","methods","15","",""
"212","scoring","37","",""
"213","ranking","73","9049","9048"
"214","sports","6","",""
"215","markov-process","54","8986","8985"
"216","matlab","146","48517","48516"
"217","simulation","20","",""
"218","finance","40","48020","48019"
"219","apache-spark","217","8971","8970"
"220","linear-regression","475","8887","8886"
"222","version-control","7","",""
"223","convnet","440","12581","12580"
"224","image-classification","494","51105","51104"
"226","software-development","13","",""
"227","rstudio","40","49014","49013"
"229","programming","34","",""
"232","notation","9","57306","57305"
"233","terminology","62","9059","9058"
"235","sas","19","9051","9050"
"236","hyperparameter","115","21852","21851"
"237","survival-analysis","27","9045","9044"
"238","discriminant-analysis","16","9106","9105"
"239","multiclass-classification","321","",""
"240","books","28","",""
"243","genetic-algorithms","42","",""
"244","featurization","5","",""
"249","decision-trees","463","16988","16987"
"250","self-study","37","",""
"251","named-entity-recognition","94","",""
"254","bioinformatics","20","9098","9097"
"255","data","515","35800","35799"
"261","multitask-learning","23","6442","6441"
"266","word-embeddings","291","6614","6613"
"269","software-recommendation","34","9057","9056"
"271","preprocessing","290","",""
"272","multilabel-classification","217","6780","6779"
"273","reference-request","64","9055","9054"
"274","julia","10","12599","12598"
"276","loss-function","302","48493","48492"
"278","ggplot2","21","21818","21817"
"279","normalization","171","48521","48520"
"280","weighted-data","42","",""
"281","feature-construction","54","",""
"282","supervised-learning","247","9047","9046"
"283","descriptive-statistics","54","9104","9103"
"284","aggregation","27","",""
"286","c","13","",""
"287","missing-data","116","",""
"288","markov","12","",""
"289","expectation-maximization","17","9102","9101"
"290","distance","106","12579","12578"
"291","cosine-distance","52","48664","48663"
"293","learning","25","",""
"298","ipython","49","48858","48857"
"299","anaconda","39","48656","48655"
"301","numerical","19","",""
"302","history","4","",""
"303","outlier","134","12561","12560"
"304","unsupervised-learning","308","9094","9093"
"305","probability","204","",""
"307","autoencoder","223","8674","8673"
"310","backpropagation","212","36804","36803"
"311","theano","45","48598","48597"
"312","fuzzy-logic","25","57240","57239"
"313","weka","58","18889","18888"
"315","scraping","35","",""
"317","xgboost","414","12577","12576"
"319","data-wrangling","38","",""
"320","data-product","9","",""
"321","tensorflow","1347","9183","9182"
"322","excel","53","",""
"323","semi-supervised-learning","39","63634","63633"
"324","keras","1903","9251","9250"
"325","azure-ml","39","9253","9252"
"327","machine-translation","62","",""
"328","data-imputation","64","43035","43034"
"329","gensim","79","10237","10236"
"330","lsi","5","",""
"331","model-selection","156","43582","43581"
"332","feature-engineering","356","25556","25555"
"333","hinge-loss","8","9986","9985"
"334","stata","4","",""
"335","text","108","",""
"337","json","27","",""
"340","reinforcement-learning","435","9674","9673"
"341","q-learning","99","9676","9675"
"342","google-prediction-api","7","",""
